name|calories|protein|fat|sodium|fiber|carbo|sugars|potass|vitamins|shelf|cups|analysis_date|weekday|name_weekday|alk_con
100% Bran|70|4|1|130|10.0|5.0|6|280|25|3|0.33|1987-04-06|0|Monday|410
100% Natural Bran|120|3|5|15|2.0|8.0|8|135|0|3|1.0|1987-04-08|2|Wednesday|150
All-Bran|70|4|1|260|9.0|7.0|3|320|25|3|0.33|1987-04-06|0|Monday|580
All-Bran with Extra Fiber|50|4|0|140|14.0|8.0|3|330|25|3|0.5|1987-04-06|0|Monday|470
Almond Delight|110|2|2|200|1.0|14.0|8|7|25|3|0.75|1987-04-07|1|Tuesday|207
Apple Cinnamon Cheerios|110|2|2|180|1.5|10.5|10|70|25|1|0.75|1987-04-06|0|Monday|250
Apple Jacks|110|2|0|125|1.0|11.0|14|30|25|2|1.0|1987-04-09|3|Thursday|155
Basic 4|130|3|2|210|2.0|18.0|8|100|25|3|0.75|1987-04-09|3|Thursday|310
Bran Chex|90|2|1|200|4.0|15.0|6|125|25|1|0.67|1987-04-10|4|Friday|325
Bran Flakes|90|3|0|210|5.0|13.0|3|190|25|3|0.67|1987-04-06|0|Monday|400
Cap'n'Crunch|120|1|2|220|0.0|12.0|12|35|25|2|0.75|1987-04-07|1|Tuesday|255
Cheerios|110|6|2|290|2.0|17.0|3|105|25|1|1.25|1987-04-07|1|Tuesday|395
Cinnamon Toast Crunch|120|1|3|210|0.0|13.0|9|45|25|2|0.75|1987-04-07|1|Tuesday|255
Clusters|110|3|2|140|2.0|13.0|7|105|25|3|0.5|1987-04-07|1|Tuesday|245
Cocoa Puffs|110|1|1|180|0.0|12.0|13|55|25|2|1.0|1987-04-08|2|Wednesday|235
Corn Chex|110|2|0|280|0.0|22.0|3|25|25|1|1.0|1987-04-08|2|Wednesday|305
Corn Flakes|100|2|0|290|1.0|21.0|2|35|25|1|1.0|1987-04-08|2|Wednesday|325
Corn Pops|110|1|0|90|1.0|13.0|12|20|25|2|1.0|1987-04-08|2|Wednesday|110
Count Chocula|110|1|1|180|0.0|12.0|13|65|25|2|1.0|1987-04-10|4|Friday|245
Cracklin' Oat Bran|110|3|3|140|4.0|10.0|7|160|25|3|0.5|1987-04-10|4|Friday|300
Cream of Wheat (Quick)|100|3|0|80|1.0|21.0|3|1|0|2|1.0|1987-04-10|4|Friday|81
Crispix|110|2|0|220|1.0|21.0|3|30|25|3|1.0|1987-04-09|3|Thursday|250
Crispy Wheat & Raisins|100|2|1|140|2.0|11.0|10|120|25|3|0.75|1987-04-09|3|Thursday|260
Double Chex|100|2|0|190|1.0|18.0|3|80|25|3|0.75|1987-04-09|3|Thursday|270
Froot Loops|110|2|1|125|1.0|11.0|13|30|25|2|1.0|1987-04-09|3|Thursday|155
Frosted Flakes|110|1|0|200|1.0|14.0|11|25|25|1|0.75|1987-04-09|3|Thursday|225
Frosted Mini-Wheats|100|3|0|0|3.0|14.0|7|100|25|2|0.8|1987-04-09|3|Thursday|100
Fruit & Fibre Dates; Walnuts; and Oats|120|3|2|160|5.0|12.0|10|200|25|3|0.67|1987-04-09|3|Thursday|360
Fruitful Bran|120|3|0|240|5.0|14.0|12|190|25|3|0.67|1987-04-09|3|Thursday|430
Fruity Pebbles|110|1|1|135|0.0|13.0|12|25|25|2|0.75|1987-04-09|3|Thursday|160
Golden Crisp|100|2|0|45|0.0|11.0|15|40|25|1|0.88|1987-04-09|3|Thursday|85
Golden Grahams|110|1|1|280|0.0|15.0|9|45|25|2|0.75|1987-04-09|3|Thursday|325
Grape Nuts Flakes|100|3|1|140|3.0|15.0|3|85|25|3|0.88|1987-04-09|3|Thursday|225
Dee's Nuts|110|3|0|170|3.0|17.0|3|90|25|3|0.25|1987-04-10|4|Friday|260
Great Grains Pecan|120|3|3|75|3.0|13.0|4|100|25|3|0.33|1987-04-09|3|Thursday|175
Honey Graham Ohs|120|1|2|220|1.0|12.0|11|45|25|2|1.0|1987-04-09|3|Thursday|265
Honey Nut Cheerios|110|3|1|250|1.5|11.5|10|90|25|1|0.75|1987-04-07|1|Tuesday|340
