LotArea,LivingArea,NumberBedroom,TotalRooms,Neighborhood,YearBuilt,YearRemodAdd,YrSold,MoSold,KitchenQual,Condition1,OverallCond,SalePrice
8450,1710,3,8,CollgCr,2003,2003,2008,2,Gd,Norm,5,208500
11250,1786,3,6,CollgCr,2001,2002,2008,9,Gd,Norm,5,223500
9550,1717,3,7,Crawfor,1915,1970,2006,2,Gd,Norm,5,140000
7420,1077,2,5,BrkSide,1939,1950,2008,1,TA,Artery,6,118000
10652,1494,3,7,CollgCr,2006,2007,2007,8,Gd,Norm,5,279500
6120,854,2,5,BrkSide,1929,2001,2007,7,TA,Norm,8,132000
7449,1108,3,6,IDOTRR,1930,1950,2007,6,Gd,Norm,7,139400
9742,1795,3,7,CollgCr,2002,2002,2008,9,Gd,Norm,5,230000
6324,520,1,4,BrkSide,1927,1950,2008,5,Fa,Feedr,6,68500
8500,1317,3,6,IDOTRR,1920,1950,2008,7,TA,Feedr,4,40000
11049,1234,3,7,CollgCr,2007,2007,2008,1,Gd,Norm,5,179900
10859,1097,3,6,CollgCr,1994,1995,2009,6,TA,Norm,5,145000
6040,1152,2,6,Edwards,1955,1955,2008,6,Fa,Norm,5,82000
9200,938,3,5,CollgCr,1975,1980,2008,7,TA,Norm,6,130250
13869,1470,3,6,Gilbert,1997,1997,2007,7,TA,Norm,6,177000
6240,1176,3,6,BrkSide,1934,1950,2006,9,TA,Norm,6,114500
8472,816,2,5,IDOTRR,1963,1963,2010,5,TA,RRNn,5,110000
11645,1720,3,7,CollgCr,2004,2004,2006,8,Gd,Norm,5,196500
7200,780,2,4,CollgCr,1972,1972,2008,1,TA,Norm,7,124900
7200,1111,3,6,IDOTRR,1920,1996,2007,3,Fa,Norm,7,101000
9375,2034,3,8,CollgCr,1997,1998,2009,2,Gd,Norm,5,219500
10665,1479,3,7,CollgCr,2003,2003,2007,6,Gd,Norm,5,226000
15593,2287,3,7,ClearCr,1953,1953,2006,7,TA,Norm,4,225000
10141,1718,3,7,Gilbert,1998,1998,2009,12,TA,Norm,5,185000
8635,1285,2,6,BrkSide,1948,2001,2008,1,TA,Norm,5,127000
8530,1474,3,7,Gilbert,1995,1996,2009,5,TA,Norm,5,168500
11911,1560,3,6,Gilbert,2005,2005,2009,3,Gd,Norm,5,174000
8470,1526,2,6,IDOTRR,1915,1982,2009,10,Fa,Feedr,2,85000
8070,990,3,5,CollgCr,1994,1995,2007,8,TA,Norm,5,123600
13360,964,2,5,Crawfor,1921,2006,2009,8,TA,Norm,7,163500
9337,1786,3,7,CollgCr,1997,1997,2007,5,Gd,Norm,5,204750
9765,1470,3,6,Gilbert,1993,1993,2009,4,TA,Norm,8,185000
10264,1588,3,6,CollgCr,1999,1999,2006,8,Gd,Norm,5,214000
10921,960,3,6,Edwards,1965,1965,2007,5,TA,Norm,5,94750
10625,835,2,5,Edwards,1920,1950,2010,5,TA,Norm,5,83000
10402,1226,3,6,CollgCr,2009,2009,2010,5,Gd,Norm,5,198900
7758,1818,4,7,IDOTRR,1931,1950,2007,6,TA,Norm,4,169500
8500,1517,3,7,IDOTRR,1919,2005,2007,8,Fa,Artery,7,115000
9525,1855,4,7,Edwards,1954,1972,2006,10,TA,Norm,4,136900
7750,1430,3,7,Gilbert,2000,2000,2010,4,TA,Norm,5,180000
9965,2696,4,10,CollgCr,2007,2007,2007,10,Ex,Norm,5,383970
21000,2259,3,7,Crawfor,1953,1953,2007,10,Gd,Norm,5,217000
7259,2320,3,9,Crawfor,1945,2002,2007,7,Gd,Norm,8,259500
8536,1125,2,5,Edwards,2006,2007,2007,4,TA,Norm,5,155000
8461,1456,3,8,CollgCr,2005,2006,2006,7,Gd,Norm,5,163990
21453,988,1,4,ClearCr,1969,1969,2006,10,TA,Norm,5,180000
6060,1123,3,4,IDOTRR,1939,1950,2007,6,TA,Norm,5,100000
6780,754,2,5,IDOTRR,1935,1982,2006,6,TA,Norm,8,84500
12224,2054,3,7,Gilbert,2000,2000,2009,7,Gd,Norm,5,244000
9066,1852,3,7,CollgCr,1999,2000,2008,12,Gd,Norm,5,230000
15426,1764,3,7,CollgCr,1997,1997,2009,8,Gd,Norm,5,231500
11645,1734,3,7,CollgCr,2005,2005,2006,1,Gd,Norm,5,260000
10335,1501,3,6,CollgCr,1999,1999,2009,6,Gd,Norm,5,204000
2522,1709,3,7,Edwards,2004,2006,2006,4,Gd,Norm,5,130000
6120,875,2,5,BrkSide,1931,1993,2009,11,TA,Norm,7,105000
9505,2035,3,8,Gilbert,2001,2001,2010,5,Gd,Norm,5,222500
6240,1344,3,7,BrkSide,1936,1950,2006,4,TA,Norm,4,115000
10356,969,3,5,CollgCr,1975,1975,2007,1,TA,Norm,6,122000
13500,1252,1,4,ClearCr,1960,1975,2008,3,TA,Norm,7,235000
9600,1096,2,5,Edwards,1924,1950,2008,4,TA,Artery,5,79000
19378,2462,4,9,Gilbert,2005,2006,2006,3,Gd,Norm,5,320000
10106,1355,4,6,Edwards,1940,1999,2008,9,TA,Norm,7,127500
10708,1867,2,7,ClearCr,1955,1993,2009,11,TA,Norm,5,190000
8244,1720,3,7,Gilbert,2004,2004,2007,5,Gd,Norm,5,183500
12615,2158,4,7,Edwards,1950,2001,2007,6,Gd,Norm,7,243000
10029,2060,4,8,ClearCr,1988,1989,2007,9,TA,Norm,5,211000
7588,1802,4,9,Crawfor,1920,1950,2006,7,TA,Norm,6,200100
9060,1340,3,7,Edwards,1957,2006,2007,6,TA,Artery,6,120000
7438,1252,3,5,BrkSide,1908,1991,2006,6,TA,RRAn,8,127000
10570,2727,3,10,Crawfor,1932,1994,2007,12,Gd,Norm,8,315000
9017,1431,3,6,CollgCr,1999,1999,2009,9,Gd,Norm,5,192000
2522,1709,3,7,Edwards,2004,2004,2006,5,Gd,Norm,5,130000
7180,864,3,5,CollgCr,1972,1972,2008,5,TA,Norm,7,127000
8546,1121,2,5,Edwards,2003,2004,2010,3,TA,Norm,5,140000
4438,848,1,3,CollgCr,2004,2004,2008,1,Gd,Norm,5,149000
11851,1442,3,5,Gilbert,1990,1990,2009,5,TA,Norm,5,180500
5604,864,2,5,Edwards,1925,1950,2008,4,TA,Norm,6,98000
10420,1212,3,6,Edwards,2009,2009,2010,3,Gd,Norm,5,186000
13568,990,3,5,CollgCr,1995,1995,2006,7,TA,Norm,5,156000
10900,1392,3,6,CollgCr,1977,1977,2010,3,TA,Norm,7,161750
8450,1436,3,8,CollgCr,2004,2004,2008,4,Gd,Norm,5,210000
15660,1954,3,8,Crawfor,1939,2006,2008,5,Gd,Norm,9,311500
3010,1248,2,5,Blmngtn,2005,2006,2006,3,Gd,Norm,5,167240
8990,1498,2,5,CollgCr,2006,2006,2006,4,Gd,Norm,5,204900
8068,2267,4,8,Gilbert,2002,2002,2009,12,Gd,Norm,5,200000
1680,1302,3,6,BrDale,1971,1971,2009,5,TA,Norm,5,112000
1869,987,2,5,BrDale,1970,1970,2008,9,TA,Norm,6,106000
3182,1555,2,7,Blmngtn,2005,2006,2009,5,Gd,Norm,5,192500
1680,987,2,5,BrDale,1972,1972,2006,6,TA,Norm,5,94500
10650,894,3,5,CollgCr,1976,1976,2010,2,TA,Norm,6,128200
7851,1960,4,8,Gilbert,2002,2002,2010,5,Gd,Norm,5,216500
1680,987,2,5,BrDale,1971,1971,2008,8,TA,Norm,3,89500
8773,1414,3,6,CollgCr,2004,2004,2010,5,Gd,Norm,5,185500
8741,1487,3,7,Edwards,1945,1950,2010,4,TA,Norm,4,113000
11317,1668,3,8,CollgCr,2003,2003,2007,9,Gd,Norm,5,180000
159000,2144,4,7,ClearCr,1958,2006,2007,6,Gd,Norm,7,277000
5350,1306,3,6,BrkSide,1940,1966,2010,5,Fa,Norm,2,76500
4750,1625,2,5,Crawfor,2006,2007,2007,12,Gd,Norm,5,235000
8738,2291,4,8,Gilbert,1999,1999,2006,2,Gd,Norm,5,230000
8814,1604,3,8,CollgCr,2006,2006,2009,3,Gd,Norm,5,220000
12435,1792,3,7,CollgCr,2001,2001,2008,5,Gd,Norm,5,231500
9588,2574,3,10,CollgCr,2007,2007,2007,11,Ex,Norm,5,276000
11207,1511,3,8,Gilbert,1997,1997,2006,6,TA,Norm,5,185000
6900,778,2,4,IDOTRR,1940,1955,2008,2,TA,Norm,6,120500
7917,1113,3,6,Edwards,1976,1976,2007,5,TA,Norm,7,148000
39104,1363,2,5,ClearCr,1954,2005,2008,4,TA,Norm,7,241500
7264,1548,3,5,BrkSide,1925,2007,2009,10,Ex,Norm,7,205000
19138,864,2,4,Gilbert,1951,1951,2010,6,TA,Norm,5,141000
10005,2022,4,8,ClearCr,1977,1977,2008,3,TA,Norm,5,192000
8730,1396,3,7,BrkSide,1915,2003,2007,7,TA,RRAn,7,153575
