LotArea;SalePrice;LivingArea;NumberBedroom;TotalRooms;Neighborhood;YearBuilt;YearRemodAdd;YrSold;MoSold;KitchenQual;Condition1;OverallCond
9600;181500;1262;3;6;Veenker;1976;1976;2007;5;TA;Feedr;8
14260;250000;2198;4;9;NoRidge;2000;2000;2008;12;Gd;Norm;5
14115;143000;1362;1;5;Mitchel;1993;1995;2009;10;TA;Norm;5
10084;307000;1694;3;7;Somerst;2004;2005;2007;8;Gd;Norm;5
10382;200000;2090;3;7;NWAmes;1973;1973;2009;11;TA;PosN;6
6120;129900;1774;2;8;OldTown;1931;1950;2008;4;TA;Artery;5
11200;129500;1040;3;5;Sawyer;1965;1965;2008;2;TA;Norm;5
11924;345000;2324;4;11;NridgHt;2005;2006;2006;7;Ex;Norm;5
12968;144000;912;2;4;Sawyer;1962;1962;2008;9;TA;Norm;6
10920;157000;1253;2;5;NAmes;1960;1960;2008;5;TA;Norm;5
11241;149000;1004;2;5;NAmes;1970;1970;2010;3;TA;Norm;7
10791;90000;1296;2;6;Sawyer;1967;1967;2006;10;TA;Norm;5
13695;159000;1114;3;6;SawyerW;2004;2004;2008;6;Gd;RRAe;5
7560;139000;1339;3;6;NAmes;1958;1965;2009;5;TA;Norm;6
14215;325300;2376;4;9;NridgHt;2005;2006;2006;11;Gd;Norm;5
4224;129900;1060;3;6;MeadowV;1976;1976;2007;6;TA;Norm;7
8246;154000;1060;3;6;Sawyer;1968;2001;2010;5;Gd;Norm;8
14230;256300;1600;3;7;NridgHt;2007;2007;2009;7;Gd;Norm;5
7200;134800;900;3;5;NAmes;1951;2000;2010;5;Gd;Norm;7
11478;306000;1704;3;7;NridgHt;2007;2008;2010;5;Gd;Norm;5
16321;207500;1600;2;6;NAmes;1957;1997;2006;12;TA;Norm;6
8544;149350;1228;3;6;Sawyer;1966;2006;2008;6;Gd;Norm;6
10552;165500;1700;4;6;NAmes;1959;1959;2010;4;Gd;Norm;5
7313;277500;1561;2;6;NridgHt;2005;2005;2007;8;Ex;Norm;5
13418;309000;2452;4;9;NridgHt;2004;2005;2006;9;Gd;Norm;5
8532;153000;1297;3;5;NAmes;1954;1990;2009;10;TA;Norm;6
7922;109000;1057;3;5;NAmes;1953;2007;2010;1;Gd;Norm;7
8658;160000;1324;3;6;NAmes;1965;1965;2006;12;TA;Norm;5
16905;170000;1328;2;5;Timber;1959;1959;2007;7;TA;Norm;6
